n_estimators,max_depth,accuracy,balanced_accuracy,precision,precision_macro,recall,recall_macro,f1,f1_macro,mcc,auc,train_time,inference_time
10,3,0.8157894736842105,0.7861538461538462,0.8132591093117408,0.7980769230769231,0.8157894736842105,0.7861538461538462,0.8139112487100103,0.7913725490196079,0.5841090925098348,0.9215384615384615,0.0037689208984375,0.00045299530029296875
10,5,0.8421052631578947,0.8246153846153846,0.8421052631578947,0.8246153846153846,0.8421052631578947,0.8246153846153846,0.8421052631578947,0.8246153846153846,0.6492307692307693,0.9461538461538461,0.003679037094116211,0.00044417381286621094
10,10,0.8421052631578947,0.8246153846153846,0.8421052631578947,0.8246153846153846,0.8421052631578947,0.8246153846153846,0.8421052631578947,0.8246153846153846,0.6492307692307693,0.936923076923077,0.003735780715942383,0.0004432201385498047
10,None,0.8421052631578947,0.8246153846153846,0.8421052631578947,0.8246153846153846,0.8421052631578947,0.8246153846153846,0.8421052631578947,0.8246153846153846,0.6492307692307693,0.936923076923077,0.004130125045776367,0.0004417896270751953
50,3,0.8157894736842105,0.7676923076923077,0.8140977443609022,0.8107142857142857,0.8157894736842105,0.7676923076923077,0.8089892491688615,0.7817883511074651,0.5768043833946623,0.9092307692307692,0.01696300506591797,0.0014650821685791016
50,5,0.7631578947368421,0.7461538461538462,0.768170426065163,0.7380952380952381,0.7631578947368421,0.7461538461538462,0.7651271034729681,0.7414965986394557,0.48418202613504197,0.9061538461538461,0.017097949981689453,0.0014929771423339844
50,10,0.8421052631578947,0.8246153846153846,0.8421052631578947,0.8246153846153846,0.8421052631578947,0.8246153846153846,0.8421052631578947,0.8246153846153846,0.6492307692307693,0.936923076923077,0.017377138137817383,0.0015110969543457031
50,None,0.8421052631578947,0.8246153846153846,0.8421052631578947,0.8246153846153846,0.8421052631578947,0.8246153846153846,0.8421052631578947,0.8246153846153846,0.6492307692307693,0.9338461538461538,0.017316818237304688,0.0015010833740234375
100,3,0.8157894736842105,0.7676923076923077,0.8140977443609022,0.8107142857142857,0.8157894736842105,0.7676923076923077,0.8089892491688615,0.7817883511074651,0.5768043833946623,0.9153846153846155,0.03348875045776367,0.002772092819213867
100,5,0.7631578947368421,0.7461538461538462,0.768170426065163,0.7380952380952381,0.7631578947368421,0.7461538461538462,0.7651271034729681,0.7414965986394557,0.48418202613504197,0.9215384615384615,0.0336308479309082,0.0027990341186523438
100,10,0.8421052631578947,0.8246153846153846,0.8421052631578947,0.8246153846153846,0.8421052631578947,0.8246153846153846,0.8421052631578947,0.8246153846153846,0.6492307692307693,0.9276923076923077,0.034243106842041016,0.002855062484741211
100,None,0.8421052631578947,0.8246153846153846,0.8421052631578947,0.8246153846153846,0.8421052631578947,0.8246153846153846,0.8421052631578947,0.8246153846153846,0.6492307692307693,0.9276923076923077,0.03481411933898926,0.002846956253051758
200,3,0.8421052631578947,0.8061538461538462,0.8403331561226298,0.835016835016835,0.8421052631578947,0.8061538461538462,0.8385627530364372,0.8173076923076923,0.6405207024497883,0.9184615384615384,0.06661701202392578,0.005342960357666016
200,5,0.7894736842105263,0.7846153846153847,0.8001525553012967,0.7681159420289855,0.7894736842105263,0.7846153846153847,0.7926065162907269,0.7738095238095238,0.5524850114241865,0.9184615384615384,0.06756305694580078,0.005440711975097656
200,10,0.8157894736842105,0.8046153846153846,0.8200187969924811,0.7946428571428572,0.8157894736842105,0.8046153846153846,0.8173210804789752,0.7989417989417988,0.5991752573421144,0.9307692307692307,0.06836986541748047,0.005534172058105469
200,None,0.8157894736842105,0.8046153846153846,0.8200187969924811,0.7946428571428572,0.8157894736842105,0.8046153846153846,0.8173210804789752,0.7989417989417988,0.5991752573421144,0.9307692307692307,0.0686793327331543,0.005509853363037109
